,1_run_1,1_run_2,1_run_3,1_run_4,1_run_5,1_run_6,1_run_7,1_run_8,1_run_9,1_run_10
#epoch,6.0,7.0,30.0,6.0,2.0,6.0,5.0,3.0,1.0,1.0
#training loss final,0.00962627719341905,0.0095484684124364,0.02335619295536829,0.012238972866941193,0.01026860596538447,0.009604856833054983,0.009751242078642551,0.009968229617701213,0.017074055884014696,0.02362726404834445
#validation loss final,0.007931556841804323,0.007988871536657388,0.021427481735238438,0.010793039611363627,0.00891990013863954,0.007955261251924108,0.007992871949041953,0.008142661255089154,0.010798557816894983,0.021427481735238438
