,1_MSE,1_RMSE,1_NRMSE,1_MAE,1_MAPE
0,0.049095621660622354,0.22157531825684545,0.10933891845884305,0.13259303731670755,0.48642281983877783
1,0.05265182588361408,0.229459856802043,0.1132296357276304,0.13714363124451673,0.46043751564241436
2,0.1661903984375,0.4076645660803745,0.20116682264020455,0.2953322916666668,0.7757092057562887
3,0.0809679924628437,0.28454875234807075,0.14041389210366187,0.19784999319730945,0.8579549184556093
4,0.053435961136355944,0.23116219659874307,0.11406967510424035,0.13961221063369506,0.47871681105677905
5,0.04947973586776708,0.22244040970059167,0.10976580789567811,0.137142262263305,0.5182284225045071
6,0.0485125615383848,0.22025567311282768,0.10868772421062309,0.13605313149828777,0.5082771264398401
7,0.04704301672862633,0.21689402188309925,0.10702887830402134,0.13450290990389568,0.4987261359117149
8,0.0818115769928148,0.28602723120852463,0.1411434646970267,0.19754116986958944,0.8318474234166041
9,0.1661903984375,0.4076645660803745,0.20116682264020455,0.2953322916666668,0.7757092057562887
