,1_run_1,1_run_2,1_run_3,2_run_1,2_run_2,2_run_3,3_run_1,3_run_2,3_run_3,4_run_1,4_run_2,4_run_3
#epoch,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
#training loss final,0.2916520769181459,0.29040926963276004,0.279648815299043,0.03343480884427239,0.031462821629338014,0.030527370328210898,0.0058270079179186815,0.005873935251577716,0.005871928037398767,0.003029351955480723,0.004557569510511684,0.0030347985092200546
