,1_run_1,1_run_2,1_run_3,2_run_1,2_run_2,2_run_3,3_run_1,3_run_2,3_run_3,4_run_1,4_run_2,4_run_3
#epoch,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
#training loss final,0.3008709635712414,0.3067138907802363,0.29308137551365254,0.035176921895367814,0.03593578407592818,0.03547487376205877,0.008778898989718304,0.008590432463484836,0.00887734312477634,0.005802494389417325,0.005681200313739386,0.0056910960248097685
