,1_run_1,1_run_2,1_run_3,2_run_1,2_run_2,2_run_3,3_run_1,3_run_2,3_run_3,4_run_1,4_run_2,4_run_3
#epoch,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
#training loss final,0.009395274717247935,0.009720488002029196,0.009340141753460748,0.023163289741341093,0.009568203040340811,0.00957999346808166,0.009522710720753957,0.010421992002650864,0.02316327215611981,0.009522836514378418,119705576289.01445,0.009348628398245027
