,1_run_1,1_run_2,1_run_3,2_run_1,2_run_2,2_run_3,3_run_1,3_run_2,3_run_3,4_run_1,4_run_2,4_run_3,5_run_1,5_run_2,5_run_3,6_run_1,6_run_2,6_run_3,7_run_1,7_run_2,7_run_3,8_run_1,8_run_2,8_run_3,9_run_1,9_run_2,9_run_3,10_run_1,10_run_2,10_run_3,11_run_1,11_run_2,11_run_3,12_run_1,12_run_2,12_run_3,13_run_1,13_run_2,13_run_3,14_run_1,14_run_2,14_run_3,15_run_1,15_run_2,15_run_3,16_run_1,16_run_2,16_run_3,17_run_1,17_run_2,17_run_3,18_run_1,18_run_2,18_run_3,19_run_1,19_run_2,19_run_3,20_run_1,20_run_2,20_run_3,21_run_1,21_run_2,21_run_3,22_run_1,22_run_2,22_run_3,23_run_1,23_run_2,23_run_3,24_run_1,24_run_2,24_run_3
#epoch,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
#training loss final,0.004446373074949826,0.004268484385994093,0.004259746690387419,0.004259641707194364,0.004272601168585405,0.004299160615676558,0.004263421491577057,107310609.44185391,719016166294.4253,0.002749784031433079,0.0027142140165370694,0.0027122404497969556,0.004484750553907901,0.004259252053759012,0.004262120642622893,1066.929562555422,0.00425925205772362,0.02164595378739413,0.004350613508028938,0.004288071316692852,0.004263605654939588,0.008548975455424757,0.004259250496929344,0.004259252032674503,0.004233768522867365,0.004233768572051649,5.564899293688701,0.0027045901933607096,0.003133572876316801,0.002685429780333499,0.006701198296589725,0.008501334927706538,0.004259252049614194,0.004233768518161693,0.008466197039300852,0.004233768551777211,0.004255950238493485,0.004275040790150867,0.00426038165704379,0.004254884067930061,0.004255360454792354,0.004255072891593604,0.004223357827826467,0.004250003166297185,0.004223357844330494,0.003091503374144053,0.002686309571698256,0.004264537963773246,0.0047191594109468465,0.004250003163766417,0.011772766682393097,0.0042233578416272476,0.004223357811506562,0.004223357814000578,0.004263606934767702,0.004249837366294301,0.004256289276968318,0.004317482462498469,0.004250008207948312,0.00426568388118212,0.00422335782809428,0.004223357845669563,0.004250003159066419,0.002732900564861773,0.0042691013306850765,0.0026939623308207504,429.3788648913654,78.36624359535845,0.004514913452841249,0.004223357851712112,0.0042233578497872,0.0042233578643161
