,1_MSE,1_RMSE,1_NRMSE,1_MAE,1_MAPE
0,0.006212812477392659,0.07882139606345893,0.11085991007518836,0.04565862693079495,1.7008011648441217
1,0.006118410889709781,0.07822027160340074,0.11001444669957909,0.04548149894933061,1.7289382829753195
2,0.006013330749443954,0.07754566879874049,0.10906563825420602,0.04413058253740114,1.6289389824970566
3,0.0060691750918675565,0.07790491057608344,0.1095709009508909,0.04491414464025679,1.7059930906722647
4,0.006346714401080935,0.07966626890397802,0.11204819817718426,0.047395807765300106,1.8158325426390698
5,0.006098181215363832,0.07809085231551664,0.10983242238469287,0.0445925789402759,1.6536109308402593
6,0.006172852963127899,0.07856750577132952,0.11050282105672224,0.046159549722880694,1.7893611919293675
7,0.0062030815529693336,0.07875964419021542,0.11077305793279242,0.04660359882417056,1.828989187722247
8,0.006016041818463842,0.07756314729601838,0.10909022123209335,0.04475618086460366,1.728775450926346
9,0.006167012128646071,0.07853032617177946,0.11045052907423271,0.045872656178247394,1.7364438286125918
