,1_run_1,1_run_2,1_run_3,1_run_4,1_run_5,1_run_6,1_run_7,1_run_8,1_run_9,1_run_10
#epoch,108.0,111.0,96.0,79.0,100.0,105.0,106.0,118.0,87.0,112.0
#training loss final,0.00272992232893927,0.0027457661911728264,0.002763423890875017,0.0029301588739230637,0.002868909576957414,0.00279209900167223,0.0027505307953137525,0.0026323957089344737,0.002812227286782674,0.00267432043259798
#validation loss final,0.0035304366549021226,0.0035347039082872984,0.0035517776288800087,0.0037262143657949883,0.0036724514902814346,0.0035800310924723098,0.0035541263228593975,0.0034236174750743465,0.0035960255177219613,0.003463579549943232
