,1_run_1,1_run_2,1_run_3,2_run_1,2_run_2,2_run_3,3_run_1,3_run_2,3_run_3,4_run_1,4_run_2,4_run_3
#epoch,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
#training loss final,0.005780235044088722,0.00561993799749733,0.005942293384037451,0.005966087491842615,0.005808320875177246,0.005725840375659232,0.006017925682147509,0.005878852466597069,0.005860881446882356,0.006464456705428406,0.006425124898353943,0.006389823864032471
