,1_run_1,1_run_2,1_run_3,2_run_1,2_run_2,2_run_3,3_run_1,3_run_2,3_run_3,4_run_1,4_run_2,4_run_3,5_run_1,5_run_2,5_run_3,6_run_1,6_run_2,6_run_3,7_run_1,7_run_2,7_run_3
#epoch,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
#training loss final,0.008670508774591796,0.008715535123595354,0.008631491889708577,0.008704461482344831,0.008636004139628747,0.008557553170610405,0.008677250428721077,0.008821088401311489,0.008627291590550926,0.008744311188521176,0.008809210713417703,0.008658889262439533,0.010273241474848495,0.010375785658726041,0.009925186329286961,0.012728514236554226,0.014251932562531336,0.012929480263648081,0.021504256865645974,0.02152929993010826,0.014088557868247262
