,1_run_1,1_run_2,1_run_3,2_run_1,2_run_2,2_run_3,3_run_1,3_run_2,3_run_3,4_run_1,4_run_2,4_run_3,5_run_1,5_run_2,5_run_3,6_run_1,6_run_2,6_run_3,7_run_1,7_run_2,7_run_3
#epoch,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
#training loss final,0.010239735758040193,0.01023897449284123,0.01023897449932877,0.010238974471576512,0.010238974435354407,105.28027222363347,0.005664062027418669,0.0056391704114638385,0.005624232616206349,0.006213246278851163,0.0059052886877096495,0.006181333378035195,0.009797408781807305,0.010095442163011191,0.010006975297687789,0.010312297296401794,0.037752765513402946,0.015834205163983,0.016896558824592147,0.014674544557871372,0.016776019950965334
