,1_run_1,1_run_2,1_run_3,1_run_4,1_run_5,1_run_6,1_run_7,1_run_8,1_run_9,1_run_10
#epoch,13.0,13.0,20.0,19.0,19.0,23.0,17.0,21.0,16.0,23.0
#training loss final,0.005557387364999027,0.005515297459307485,0.005240017450786046,0.005365991981356048,0.005367205171881696,0.005207012220255997,0.00535168669840721,0.005304422725826643,0.0054137702695196376,0.0053285184049815856
#validation loss final,0.005118494584969095,0.005267959958162137,0.004842262748877448,0.004899457630717576,0.005026957277313048,0.004816608292697361,0.004892233027347023,0.0048333451541850425,0.005060926117579411,0.00488876378230347
