,1_MSE,1_RMSE,1_NRMSE,1_MAE,1_MAPE
0,0.033612351289150806,0.18333671560587858,0.11516125352128052,0.09652403166461829,0.8871724393810073
1,0.03445286630250324,0.18561483319633493,0.11659223190724556,0.09339178006370501,0.767365124221562
2,0.03463910416727535,0.18611583534797718,0.11690693175124196,0.09482421286422185,0.7835523350981369
3,0.03351872874412634,0.18308120805840872,0.11500075883065876,0.09685103004968652,0.8985767010476075
4,0.03447060863043241,0.18566262044480683,0.11662224902311988,0.09295424908477777,0.741076901130774
5,0.034345345873800205,0.18532497369162151,0.11641015935403362,0.09361424095932934,0.7512265818217936
6,0.034303364797779005,0.18521167565188487,0.11633899224364629,0.09410167256385811,0.7379408915318059
7,0.033505728460249,0.1830457004691697,0.11497845506857395,0.09627040034801468,0.9168714206245626
8,0.033318214091546165,0.18253277538991775,0.1146562659484408,0.09612913134019863,0.9026397679132222
9,0.033951930469406096,0.1842604962258761,0.11574151772982168,0.09374790717196287,0.7787249338786482
