,1_run_1,1_run_2,1_run_3,1_run_4,1_run_5,1_run_6,1_run_7,1_run_8,1_run_9,1_run_10
#epoch,7.0,7.0,20.0,11.0,8.0,13.0,12.0,18.0,7.0,4.0
#training loss final,0.0027747735151810817,0.0028293648416325076,0.002645389033524329,0.002707290297874941,0.0027474459647860495,0.002651387140523752,0.002718397369976527,0.002635034301942904,0.002795386965029038,0.0028631050450999176
#validation loss final,0.00200742348726781,0.002074255994466865,0.0018917063198728248,0.0019285923916271817,0.0019839741835547767,0.001932036806467829,0.0019617194554860068,0.001882777269733865,0.001996665576067458,0.0020536850888027845
