,1_MSE,1_RMSE,1_NRMSE,1_MAE,1_MAPE
0,0.05058151888579553,0.2249033545454481,0.11098117668169163,0.14567285962462953,0.6287782587265445
1,0.04995863234338931,0.22351427771708302,0.11029572056110684,0.1383527615850017,0.5056522474516629
2,0.04934825637807134,0.2221446744310368,0.10961987388652199,0.13870381867507045,0.4881397174447621
3,0.048708415834484785,0.22069983197656673,0.10890689956899419,0.1376517923387932,0.5073208415972922
4,0.04989847853015181,0.22337967349369953,0.11022929854117915,0.13593280139418396,0.44794736094567283
5,0.047331197529494676,0.21755734308336888,0.10735620186694739,0.1382642739033366,0.5300744985412935
6,0.049760878560130443,0.22307146514095083,0.11007720954401719,0.14269986688602157,0.5587922990644512
7,0.05035500764209944,0.22439921488743994,0.11073240310261039,0.1349236450631986,0.4867191923538269
8,0.04935827737037023,0.2221672283897205,0.10963100339981273,0.14135232887834628,0.5110481277222765
9,0.045436030166143906,0.21315728973259138,0.10518494435361035,0.12657056446010637,0.4277037651615578
