,1_run_1,1_run_2,1_run_3,1_run_4,1_run_5,1_run_6,1_run_7,1_run_8,1_run_9,1_run_10
#epoch,6.0,4.0,4.0,10.0,7.0,6.0,7.0,3.0,5.0,5.0
#training loss final,0.008001962146640767,0.008262892705632748,0.008251643267652323,0.007817931643651703,0.00795974614424062,0.00795990163654539,0.007908182829152458,0.008497326346120973,0.008069879806109742,0.007959025590744146
#validation loss final,0.008012947372195791,0.008084111284334478,0.008044865214293593,0.008035014387109301,0.007914154693956595,0.007928503745923453,0.007929186624044704,0.008251835605946464,0.008017140461124702,0.007911489001760816
