,1_MSE,1_RMSE,1_NRMSE,1_MAE,1_MAPE
0,0.039674180257779135,0.19918378512765322,0.12511544291938018,0.10377405985898024,0.8989246633705147
1,0.03653344282323424,0.1911372355749508,0.12006107762245655,0.09853884699229964,0.7965092581609999
2,0.037390703404186,0.19336675878802437,0.12146153190202537,0.10140564116813863,0.8529698344704311
3,0.038606509619988315,0.19648539289216468,0.123420472922214,0.10382906653721781,0.8799617161126349
4,0.036981542101042125,0.19230585560778465,0.12079513543202555,0.09757929073171297,0.7857314741634412
5,0.037118441742362965,0.19266146927282313,0.12101851084976328,0.09897484711504086,0.7693953854503236
6,0.03721590791816495,0.19291425016873417,0.12117729281955665,0.10114324816902706,0.8208952139609894
7,0.036572055728712756,0.19123821722844195,0.12012450830932284,0.10065257551046672,0.905394404488991
8,0.03683979879558739,0.19193696568297464,0.12056342065513483,0.10007302811798872,0.8153188443709899
9,0.04015790547866112,0.2003943748678119,0.12587586361043462,0.10492255798371829,0.8248012876865708
