,1_run_1,1_run_2,1_run_3,1_run_4,1_run_5,1_run_6,1_run_7,1_run_8,1_run_9,1_run_10
#epoch,13.0,6.0,6.0,12.0,11.0,7.0,10.0,7.0,12.0,13.0
#training loss final,0.0046136739448189605,0.004838954413739534,0.0047942757919848525,0.004603279061685099,0.004707017659037598,0.004766196110148564,0.00463660403146756,0.0048083729119362114,0.004688103682556378,0.004673862721105484
#validation loss final,0.005497291664873644,0.0056876447691821905,0.00556368070793426,0.005473547163003764,0.00559943977816881,0.005659198472493197,0.005587679200852711,0.005711136229624212,0.005494070540267834,0.005446901876704688
